,Date,Text
147,2020-03-29 09:30:24+00:00,"#Cuba deserves the world's respect, not it's Sanctions... They will be long remembered for their selfless help to tackle #coronavirus "
148,2020-03-29 09:15:00+00:00,"VIDEO: 🇫🇷 As France continues its #coronavirus confinement, wildlife is claiming back some of the public space. Ducks are no longer content to stay near the Seine river, they now wander the quiet streets of Paris as on Friday evening near the Comédie Française theatre "
149,2020-03-29 09:01:00+00:00,"""People should not be deprived of their rights to health and public service just because their application has not yet been processed"" | #Covid_19"
150,2020-03-29 09:00:00+00:00,These charts show exactly why social distancing is so important to stop coronavirus as soon as possible. Read more: https://bit.ly/2xeokZ8
151,2020-03-29 08:45:03+00:00,6 steps every country must take now to prevent coronavirus deaths: @WHO Director-General https://bit.ly/2JhBaZr #COVID19 #coronavirus 
152,2020-03-29 08:23:54+00:00,"'British spirit' will not beat coronavirus. A nation that continues to accept the bullshit spouted by the fat spoiled kid who claims to be in charge, and swallows the fictions peddled by risible journalists, needs more than spirit. It needs to think."
153,2020-03-29 08:19:32+00:00,"EU takes action on all fronts to reduce the spread of the coronavirus, help procure medical equipment, support research on treatment and vaccines, prop up the economy to save people’s jobs and support companies - and much more. #coronavirus. "
154,2020-03-29 07:52:00+00:00,VIDEO: Chennai policeman Rajesh Babu has found a creative way to get people to take precautions against the COVID-19 outbreak: a helmet made to make people think of the coronavirus 
155,2020-03-29 07:30:13+00:00,Coronavirus: UK offers financial support to the self-employed https://bit.ly/3dyo6Nc #coronavirus #uk
156,2020-03-29 07:00:00+00:00,Show your love. #StayHome #coronavirus 
