,Text
136,"Sheikh Imran N Hosein, Islamic eschatologist with David Abdullah, Economic Philosopher discussing #coronavirus #economy #recession #stockmarket #stockexchange"
137,🤭Der Identitäre&amp;AfD-Stadtrat in #Hoyerswerda Toni Schneider inszeniert sich mit 2 Adlatussen &amp; 6 nichtbezahlten Blumensträußen als Kümmerer. Trotz #coronavirus spaziert er damit durch Supermärkte &amp;Klinik und gefährdet dabei Menschenleben. Klinik reagiert: https://www.t-online.de/nachrichten/deutschland/id_87571086/hoyerswerda-afd-gruppe-spaziert-trotz-corona-krise-mit-blumen-in-klinik.html
138,sie sollte Coronavirus danken weil es die Umwelt geholfen hat durch Reduzierung CO2 und andere giftige Gasen Emissionen !!! Keine mehre Flugreise .... Keine mehre Verschmutzung aus Fabriken !!!!! Covid 19 und seine Freundin Greta 17 💑👫🏼
139,A CORONAVIRUS Party 
140,#Coronakrise #Covid19de #Coronavirus #Grenzen #Flughäfen #Sicherheit #Gesundheitsminister #EU #Merkel #Spahn #Groko #CDU #CSU #AfD #SPD #Futschi #Spirituosenhersteller liefern Alkohol zur Herstellung v. #Desinfektionsmitteln
141,"These two single handedly beat corona virus by just not dressing and cuddling up to people, corona or not."
142,"No es que se cerrara, es que nunca se abrió. Ha tenido que haber más de 12000 enfermos en #Madrid para que se considerara de utilidad. ¡¡¡Madrid no se merece esto!!! #coronavirus "
143,#Iran #CoronaVirus .@USADARFARSI ادامه سیاست متناقض جمهوری اسلامی برای مقابله با کرونا؛ تیم «پزشکان بدون مرز» از #ایران اخراج شدند
144,"Weird times we live in.. But luckely there is Animal Crossing! 😄💜 Most of the world is staying inside cuz of the Corona Virus, but that okay for me! im enjoying myself with my games! 💜 Yesterday i got Animal… https://www.instagram.com/p/B-InVUQnSCV/?igshid=xups1pzi1u6q"
145,"""Trump, Coronavirus Task Force answer questions in press conference"" https://youtu.be/V7LWF3Hj-eg"
146,"Coronavirus: un premier patient contaminé porte plainte pour ""entrave aux mesures d’assistance” https://www.bfmtv.com/police-justice/coronavirus-un-premier-patient-contamine-porte-plainte-pour-entrave-aux-mesures-d-assistance-1881564.html via @BFMTV"
147,"Après Kourou, c'est au tour de Mahia de mettre en pause ses lancements, devenant donc la deuxième base spatiale à fermer à cause du coronavirus. Bon courage à toutes les équipes sur place... "
148,The coronavirus pandemic may mark a decline in U.S. leadership 
149,"Verstärkte Kontrollen im Kampf gegen das Corona-Virus angekündigt Die Ordnungsämter im Mühlenkreis kontrollieren verstärkt die neuen Maßnahmen im Kampf gegen das Corona-Virus. Die Mitarbeiter überprüfen unter anderem, ob die Schließung von Restaurants, … "
150,"Se fue Uderzo 😔, pero me deja super recuerdos de mi niñez peleando por leer a Asterix y Obelix con mis hermanos y riéndonos mucho con cada aventura 😃.y ya en 2017 pelearon contra el Corona virus! ¡Por Tutatis! Que coincidencia! "
151,Coronavirus: India enter 'total lockdown' after spike in cases 
152,#COVID19germany #Coronakrise #Covid19de #Coronavirus #Grenzen #Flughäfen #Sicherheit #Gesundheitsminister #EU #Merkel #Spahn #Groko #CDU #CSU #AfD #SPD #Futschi Sechs Millionen Schutzmasken für Deutschland in Kenia verschwunden
