,Text
104,Iraqi Kurdistan reports 12 new cases of coronavirus: ministry 
105,اونجای پايتخت كه اوج استرس و مشكلاتشون بود بعد بهتاش برگشت گفت نه اينطوری نميشه پاشيد پاشيد ...... پاشيد جامونو بندازيم بخوابيم :)))))) اون دقيقا شيوه‌ی برخورد من با مشكلات بود ممدآقو #پایتخت_۶ #coronavirus
106,"This Corona Virus has caused Human Trafficking in Shops, see all this Traffic 😪😪 it's so Sad "
107,"In Irpen near Kiev, Ukraine, because of the coronavirus, a whole Residential building was isolated. Eyewitnesses report that a pregnant woman is infected. The police blocked the entry-exit #Covid19Out #CoronavirusLockdown #COVIDー19 #COVID2019 #Ukraine"
108,Looks like the #coronavirus leaps!
109,Corona virus 🦠
110,Agora o coronavírus foi longe demais! 
111,Some people are way too excited about coronavirus.. theyre acting deep or philosophical or whatever. Ok we get it youre smart
112,💯#Sufism_Awakening #Restart_opposition #CoronaVirus #P_E_G #Restart_the_only_way_to_Salvation
113,Saindo agora ele bota a culpa do fracasso no coronavirus e os apoiadores sequelados vao acreditar!
114,"ارتفع عدد حالات الفيروسات التاجية في الولايات المتحدة إلى أكثر من 46,000 حالة مؤكدة، مع تحذير منظمة الصحة العالمية من أن الولايات المتحدة قد تكون بؤرة وبائية جديدة #coronavirus"
115,😺✏ — Sai vou pegar coronavírus #curiouscat
116,I feel so bad.. I got so angry.. thinking that it was some young person.. there is an 84 year old man in my town that has CORONA VIRUS.. he is in critical condition..in my little town.. please pray for this man.. this has touched our town pray for him and pray for us..
117,خدای بزرگ و مهربون ، میشه سال ۲۰۲۰ رو حذف کنیم و دوباره نصب کنیم این ویروس داره... ممدآقو #StayAtHomeOrder #coronavirus #COVID19 #کورونا
118,✌
119,Ops
120,"DP World continues to closely monitor the global impact of COVID-19. We are following the guidance from government and health authorities to ensure we act to protect our customers, employees and the communities where we operate. #Coronavirus #COVID19"
121,to planejando essa primeira ideia ja tem um ano eu n nao posso morrer sem concretizar por favor coronavirus
122,"What we have learned from the coronavirus crisis so far is that the next winning products are the ones that are meeting essential customer’s needs regarding health protection. This, at least, would be the race for the short run as customers’ awareness is shifting.."
