,Text
107,Estaba yo a punto de tuitear un ¿Dónde termina la ansiedad y empieza el coronavirus? Afus. Ánimo!
108,Madrid: paisajes de #coronavirus https://www.elmundo.es/album/cultura/2020/03/24/5e789212fdddff4d128b4585.html Reportaje fotográfico de @adilolli en @elmundoes
109,"Normal, yo si fuera coronavirus ni os tocaba con un palo "
110,Este ratio de contagio lo he leído otras veces pero cada vez que lo veo en diferentes versiones como la de abajo no deja de soprenderme: 1 infectado de Coronavirus es responsable de 59.000 contagiados. https://twitter.com/dinapomeranz/status/1242580454806638592
111,"#ElGobiernoTeMiente Pep Guardiola ha donado 1 millón para la lucha contra el #coronavirus #COVIDー19 Eso si, solo para Cataluña. Pero mejor eso que nada, no como los Marqueses, el @pnique y otros tantos que se llenan el hocico de solidaridad y no sueltan un euro."
112,Vosotros tendreis la version catalana del bichito ... en vez de corona .... virus ... seria ....
113,Las bajas de sanitarios por coronavirus en la Comunidad de Madrid se ceban en una plantilla ya menguada por los recortes https://m.eldiario.es/_3c235a4d vía @eldiarioes
114,"si por favor, mis padres ya no pueden más de tanta información del coronavirus @rtve"
115,el crimen del 8m creó una PANDEMIA de coronavirus en españa https://youtu.be/FvlAV49EZ9k vía @YouTube
116,"Soy yo, o me parece la gestión del corona virus por parte del Gobierno se les ha ido de las manos? Esto tiene pinta de acabar muy mal."
117,"Que está al pie del cañón contra el coronavirus, trae niños al mundo y hace temazos, tíos. "
118,"Gente o Bolsonaro mandou agente viver normalmente no seu pronuciamento, e que isso(covid19) SÓ AFETAVA IDOSOS. Mano, esse cara é completamente louco. PQ VCS ELEGERAM ELE?"
119,Ganáis votos así? No es momento de estar unidos? Ahora el enemigo es común y se llama Coronavirus 
120,#ÚLTIMAHORA | El presidente de Panamá impone cuarentena las 24 horas en todo el país a causa de la propagación del #coronavirus 
121,Así se vive en la Urgencia del Hospital de Getafe en plena crisis del coronavirus 
122,"Lo más gracioso de este pavo es que una semana antes de la llegada del coronavirus lo llamó ""virus de pacotilla"" durante varios vídeos. Es un poco sensacionalista; ahora bien, el tío es médico y está en la primera línea. Que sea totalmente delusional es otro tema. "
123,Sin 4K por el coronavirus...
124,"El Ministerio de Industria, Comercio y Turismo tiene abiertas varias líneas de trabajo para poner en marcha en España la producción ""a gran escala"" de mascarillas, gafas, batas desechables, geles hidroalcohólicos o respiradores. #coronavirus "
125,El coronavirus pone a prueba las redes en España https://ift.tt/33KO6AD #Cloud #CloudComputing
126,"Me pongo mala de oírlos, menudo Coronavirus están hechos todos ellos 🤬🤬🤬"
127,El coronavirus pone a prueba las redes en España https://ift.tt/33KO6AD #Cloud #CloudComputing
128,#Últimahora España solicita asistencia a la OTAN para hacer frente a la pandemia del coronavirus. 
129,Que dicen ahora en ese programa con un presentador tan guay los que cantaban a coro “Coronavirus oeeeee” ? #CoronavirusESP #covid19ESP
130,Ayuda contra el Coronavirus JAÉN (JS) 
131,¿Vas a desobedecer a Ábalos en lo de no politizar el Coronavirus? 
132,Cuando te dicen que se llevan a tu padre al hospital por el #coronavirus y tienes que ocupar tu mente esperando una llamada. 
133,"No entiendo nada, solo sé que se disparan los contagios #coronavirus y en eso tiene mucho que ver la falta de protección. #Covid-19 está atacando a demasiados #sanitarios españoles"
134,Los efectos del confinamiento en el medio ambiente #coronavirus 
135,CRISIS CORONAVIRUS ACTIVIDADES DESDE CASA DE LOS MÁS PEQUEÑOS. ESTOS SON LOS TRABAJOS RECIBIDOS POR LOS COLEGIOS: SANT JAUME Y SAN JOSE DE MONCADA Y RAMÓN Y CAJAL DE ALFARA DEL PATRIARCA 
136,Tweets de autoridades de España sobre coronavirus #coronavirus 
137,Estamos todavía combatiendo contra el coronavirus cuando ya aparece el hantavirus. 
138,La paradoja de los medios digitales en tiempos del coronavirus: se disparan las visitas pero se hunden los ingresos publicitarios.
139,Editorial: Culpables del coronavirus - 24/03/20 https://youtu.be/MIBPmIih2OI vía @YouTube
140,🖤✍️Emotiva carta de despedida a la médico de La Fuente de San Esteban fallecida a los 59 años a consecuencia del #coronavirus http://bit.ly/2WHVwTQ #CoronavirusSalamanca #EsteVirusLoParamosUnidos #Salamanca
141,"Las circunstancias en las que van a trabajar son perfectamente adecuadas a sus competencias y a sus capacidades. No es un hospital ni tienen ""responsabilidades clínicas"". Un aplauso para ellos que ponen su importante granito de arena para ayudar contra el coronavirus."
142,5 precauciones que debes tomar al repostar tu coche por el coronavirus 
143,coronavirus: La Comunidad de Madrid mantiene cerrada una UCI en el Hospital Infanta Sofía en plena crisis sanitaria - Público 
144,BBC News Mundo - Coronavirus: el mapa que muestra el número de infectados y muertos en el mundo por el covid-19 
145,No hay problema. Si votas por Donald Trump el coronavirus no va contigo! 
146,Coronavirus con perspectiva de género.. https://twitter.com/gpscongreso/status/1242106829951434754
147,no es momento de ir lamiendo cosas y tal pero fvck coronavirus te amo❤️
148,El coronavirus y el efecto Tyndall https://www.laopiniondezamora.es/opinion/2020/02/25/coronavirus-efecto-tyndall/1226262.html vía @opiniondezamora
149,El Gobierno desmiente que estudie bajar el salario a los empleados públicos por la crisis del coronavirus 
150,"Feroz crítica de @jpedrerol Pedrerol al mundo del fútbol ante el coronavirus: ""Solo piensan en el dinero. Están dando una imagen lamentable"" vía @elconfidencial"
151,El parchis tiene el coronavirus
152,"el hecho de q le dejé de seguir hace muchísimo p q tuve una premonición de q sería otro white Inditex poppered up gay,,, oh wow"
153,Décimo día de clausura. Primer día de Disney plus. Suscríbete a mi canal!! #COVID2019 #Covid_19fr #coronavirus #COVID19 #Coronavid19 #QuedateEnCasaALa1 #Covid_19 #granhermano #CoronaMadrid
154,Se lo ha gastado el para protegerse de coronavirus 
155,OMG!! Me ha encantado esta foto en @flickr: La primavera ai tempi del Coronavirus: https://flic.kr/p/2iGXXfM by StellaDeLMattino
156,¿Cómo funcionan y en qué se diferencian los PCR y los test rápidos para el diagnóstico del coronavirus? Vía @nuevatribuna
157,"Si el gobierno pusiera el mismo ímpetu para solucionar los desahucios, lss condiciones laborales, las agresiones machistas... como lo pone para solucionar el coronavirus irían las cosas mejor"
158,"El PP advierte de que Sánchez es el ""único responsable"" de la gestión del coronavirus y ""debe asumir las consecuencias"" https://www.eldiario.es/politica/PP-Sanchez-responsable-coronavirus-consecuencias_0_1009299675.html"
159,Estos son los consejos de la Organización Mundial de la Salud para el uso de la mascarilla durante la pandemia del coronavirus. @WHO https://www.who.int/es/emergencies/diseases/novel-coronavirus-2019/advice-for-public/when-and-how-to-use-masks
160,"@vox #coronavirus No le fallaba la intuición a Pedro Sanchez, porque dudo que esté durmiendo mucho estos días. Sánchez asegura que ""no dormiría tranquilo"" si incorporase a ministros de Podemos en su gobierno https://www.rtve.es/v/5391805/ vía @rtve"
161,CRISIS CORONAVIRUS LAS PROFESORAS DE LA ESCUELA INFANTIL LA RAMBLETA DE MONCADA MANDAN UN MENSAJE DE ÁNIMO A LOS MÁS PEQUEÑOS 
162,"Jeez, will all the smart arses trying to garner attention by dissing the trauma being caused by the Coronavirus give it a rest please for God's sake? You may have your theories but that doesn't automatically give you the right to shit over everyone else's heartache. Thanks!"
163,Modifican máscaras de buceo de #Decathlon para conectar a enfermos de #coronavirus con respiradores 
164,Ya se han reportado los primeros dos casos de #coronavirus en la franja de #Gaza. La catástrofe humanitaria puede ser devastadora en un territorio que vive desde hace décadas en el hacinamiento y bloqueo con 60% de la población viviendo en condiciones de pobreza.
165,El coronavirus pone a prueba las redes en España 
