,Text
156,Sadiq Khan is having a terrible coronavirus crisis. He must act now to end Tube overcrowding #CoronavirusLockdown #CoronaVirusUpdate #CoronavirusPandemic #CoronaCrisisuk #Covid19Out #Coronavid19 #covid19UK #flatteningthecurve https://www.telegraph.co.uk/news/2020/03/24/sadiq-khan-having-terrible-coronavirus-crisis-must-act-now-end/?WT.mc_id=tmg_share_tw via @telegraphnews
157,"Fuck the CoronaVirus, wishing people would donate to me. Hating to post this again, I'm sorry. https://www.gofundme.com/manage/I-will-be-homeless-soon-my-2-babies-need-a-home"
158,And here in with all the spiteful replies to a young girl is where the Corona virus should target. Go get the bullying twats corona.
159,"Ally has banned me from speaking about coronavirus to him, he's like 'you know some of us don't want to know ALL the facts in minute detail'.........smh....the rudest man alive tbh"
160,Attention le coronavirus est une réalité. Prenez soin de vous même.
161,"Just had an email from the president of Banana Republic - apparently the latest coup is unaffected by coronavirus and the glorious new regime will still be providing a shining dawn service, albeit not outside the hours of 9am - 4pm"
162,Coronavirus: My brother text me last night about his home delivery from Asda. Come on @MirrorCeleb where is our spread in the paper? Where?!
163,"One of the glaring ironies being played out during this #COVID2019 crisis, is @BorisJohnson's enforced transformation into a decidedly #Socialist #PrimeMinister @Jacob_Rees_Mogg's most significant contribution, is his almost total lack of significant contribution. #coronavirus"
164,"The brazilian president just announced on TV that COVID-19 is a slight cold. He said people should stop quarantine, go back to work, and that schools will reopen @WHO @UN #coronavirus "
165,Sarah Ferguson on #CoronaVirus 🍃 
166,Stopping prison visits due to #coronavirus will have a significant effect on everyone in the prison system - both prisoner &amp; staff - I think @WHO recommended alternatives like temperature check on visitors NOT blanket ban
167,He tries to deliver a message that things are under control Oil and the faltering economy on one hand and #Coronavirus on the other
168,"The reported rate of Coronavirus deaths per 100,000 people in each country: 🇮🇹 11.28 🇪🇸 6.40 🇫🇷 1.69 🇳🇱 1.61 🇧🇪 1.05 🇬🇧 0.62 🇩🇰 0.55 🇸🇪 0.36 🇦🇹 0.31 🇳🇴 0.22 🇩🇪 0.19 http://opros.co.uk #COVIDー19"
169,"Coronavirus Vaccine Update: https://twitter.com/i/events/1242469095544696834 #COVID19 #CoronavirusLockdown IF ANYONE IS IN URGENT NEED OF ESSENTIALS, PLEASE LET US KNOW. ❤️"
170,@shanedawson CONSPIRACY THEORY VIDEO PLEASE!!!! This is about the coronavirus. THIS IS INSANE. 
171,"You may confuse him for a 10 year old child but no this is the President of the United States, a man who millions of Americans and the rest of the World look to for guidance and hope in this #coronavirus crisis. God help us. "
172,Yuval Noah Harari: the world after coronavirus | Free to read 
173,Coronavirus (caused by our obsession with eating animals) making headline news on #CNBC panicking as they might run out of beef 😑 #Priorities
174,The news just keeps getting worse while trump says Easter is a beautiful day to get everything running full speed. trump —Full speed ahead and damn the Coronavirus! #CoronavirusOutbreak
175,"Chat up line of the year I kid you not! ""If the coronavirus doesn't take you out can I?"" 🙈🙈🙈🙈"
176,The same in happening in Venezuela. Folks who really need these drugs touted by the irresponsible as wonder drugs for people with coronavirus cannot find them. 
177,Havering’s women see off Southend before suspension due to coronavirus outbreak https://bit.ly/2QIuesp
178,"This Coronavirus is serious, my brothers just been fined by the police🤣 jokes on him having to pay £250"
179,"Wow, that's bad. If you ever had the idea that this government does detail, or even teeters on the edge of being competent, think again. #COVID19 #coronavirus #ToriesFault #ToryShambles"
180,"I probably have corona virus if I’m honest. (No joke) Burning lungs, very short of breathe, and that’s all day. Dry throat, headache, no fever tho. Almost died 2 days ago, woke up with no air and struggled to get my breathe, had to smash my back on a wall before I passed out."
181,"Why are young, healthy people getting coronavirus? The symptoms to look out for #CoronavirusLockdown #Coronavid19 #CoronaVirusUpdate #CoronavirusPandemic #CoronaCrisisuk #Covid19Out #COVIDIOTS #COVID19 #Coronavid19 #covid19UK #flatteningthecurve"
182,Cy Tucker dead: Singer who performed with The Beatles dies from coronavirus https://newslanes.com/cy-tucker-dead-singer-who-performed-with-the-beatles-dies-from-coronavirus/
183,The supermarkets cashed in on the coronavirus by giving panic buyers a free reign to empty the shelves. And they’re still cashing in on the virus because the shelves are still empty and the hoarded sell-by dated food is ending up in the bin.
184,Apparently I worry too much #coronavirus 
185,Fifers urged to do their bit to help stop spread of Coronavirus | Dunfermline Press 
186,"#POTUS just some truthful advice. You might think you run the most powerful country in the World but you need to wake up to the fact that your Soldiers , Weapons and Guns can't save you from a microscopic virus! Life b4 money..... Idiot! #COVIDIDIOTS #COVID19 #USA #coronavirus"
187,"One of the glaring ironies being played out during this #COVID2019 crisis, is @BorisJohnson's enforced transformation into a decidedly #Socialist #PrimeMinister @Jacob_Rees_Mogg's most significant contribution, is his almost total lack of significant contribution. #coronavirus"
188,Easy solution to self-employed coronavirus problem. Have a choice you get 80% of the average monthly wage for the last 3 years or you keep your current income If you choose the 80% then In return any self employed earnings during the period must be paid to HMRC
189,"Guys, I'm going to start an elite cell to bring down #coronavirus. It's going to be called COVID OPERATIONS UK, or @CoOpUK for short. Who's in??"
190,https://youtu.be/4Uc8oXqI-Lc #coronavirus #pandemia #MexicoUnido
191,".@yerdana25 spoke to Alison, a student from Hong Kong, studying International Planning and Development in Cardiff University. She says #coronavirus made her flatmates get to know each other better than before and also gave her more time to study. 🔊 #maijcoronastories"
192,BBC News - Coronavirus spreading in New York like 'a bullet train' https://www.bbc.co.uk/news/world-us-canada-52012048 why not ask the Rothschilds family for help as they could afford to help millions of people &amp; not even feel it as they have tone &amp; tones of wealth. Oh I forgot it them behind coronavirus ☠️
193,Coronavirus: Home Office to extend visas of foreign nationals unable to return home due to pandemic. #Covid19
194,Los haters de nito se expresan como si el gobierno hubiera traído el coronavirus...
195,Regina Doherty (Minister for Employment Affairs & Social Protection): Freeze rents & mortgages for the duration of Coronavirus - Sign the Petition! http://chng.it/NvHkmk9Q via @UKChange
196,"Is it just me or is it mostly the uneducated folk that are the strongest conspiracy theorists? ""I saw a telly show that came out in 2009 that had the coronavirus in it and it was made in a lab"" whist would ya, if you saw a cow piss brown youd say it was chocolate milk"
197,You sounded like you had the coronavirus when I hopped on your stream 😂
198,corona virus ain have an expiration date aye
199,"Friends, let's spiritually adopt a person (unknown to us by name) dying alone from/with #coronavirus. We transport ourselves to their bedside and pray for them, with them: "
200,Coronavirus Forces Landlord To Cut Back On Taking Care Of Building From 1 To 0 Hours A Week 
201,Si no me mata el corona virus me mata la gastritis. No hay pierde 😪
202,Church of England closes churches to slow spread of coronavirus 
203,London coronavirus doctor pleads for return of stolen bike 
204,Facebook says coronavirus hits ad sales #UI via http://twinybots.ch
205,She is currently organising a referendum for the Corona virus!!!
206,Hantavirus erupted after Coronavirus in China! #Hantavirus
207,Alabama NICU nurse tests positive for coronavirus. Now a baby is in isolation. #CoronavirusLockdown #Coronavid19 #CoronaVirusUpdate #CoronavirusPandemic #CoronaCrisisuk #Covid19Out #COVIDIOTS #COVID19 #Coronavid19 #covid19UK #flatteningthecurve
208,#PPE #Resign #ResignNowBoris #torrycullishappeningnow #getthetoriesout #BailOutPeopleNotCorporations #coronavirus 
209,With how annoyed people got over those celebs doing “imagine” covers to “raise morale” - I’m SHOCKED there hasn’t been a general public response with Cee Lo Green’s Forget(fuck) You #imagine #forgetyou #ceelogreen #coronavirus #corvid19
