,Text
106,Après l’ail contre les vampires rencontrez la méthode révolutionnaire; l’oignon contre le coronavirus - 😭 
107,after this whole corona virus stops will u be considering tour or not :(
108,#Coronavirus : les conséquences positives du #confinement en #Alsace - France 3 Grand Est
109,"C'est idiot, mais j'ai été soulagée d'apprendre qu'#Uderzo était parti dans son sommeil, d'un arrêt cardiaque. Cela m'aurait affligée doublement que nous le perdions suite à cette horreur de pandémie #Coronavirus Il était juste au bout de son chemin après avoir éclairé le nôtre. "
110,Mesures de plus en plus strictes en Afrique où le coronavirus progresse 
111,Faux départ: les dates des Jeux olympiques de Tokyo passent à 2021 en raison de problèmes de coronavirus 
112,Putain merde @gouvernementFR @olivierveran même le @PuyduFou a des masques ! #coronavirus mais quelle scandale... et 1000 français morts 
113,Coronavirus : le traitement à la chloroquine réservé aux formes graves 
114,"vous faites peur aux gens pour rien, le coronavirus c’est un groupe de virus qui existe depuis longtemps et celui que nous avons est juste une sous forme, donc COVID 19🤷‍♀️ "
115,Coronavirus : la Chine accuse les Etats-Unis d’être à l’origine de la pandémie https://l.leparisien.fr/fcD-G #Rediff
116,"#Coronavirus en France: confinement et prolongement, la méthode #Macron en question http://rfi.my/5bwB.T via @RFI"
117,Consultez. D'urgence. Et pas pour le #coronavirus. 
118,Hi this is CoronaVirus.... and you’re watching Disney Channel 
119,j'vais toujours pas revoir mon matelas... ma chambre... avant la fin du coronavirus.... j'suis triiisssteee
120,"L'hydroxychloroquine, qui fait partie de quatre traitements expérimentaux contre le nouveau coronavirus, n'a donc pas été interdite, mais son obtention à été soumise à une ordonnance préalable d'un médecin. "
121,Coronavirus al reves es surivanoroc que no significa nada igual que yo para ti
122,"Coronavirus: en France, seuls les décès survenus à l'hôpital ont été annoncés http://rfi.my/5bwI.T via @RFI"
123,"Make corona virus kill all of you bastards .. now go to your house in Dubai, London and the US mumu people"
124,"Coronavirus. « 40 000 masques de protection volés au centre spatial guyanais », selon le procureur #RégionGuyane #Virus https://www.ouest-france.fr/region-guyane/coronavirus-40-000-masques-de-protection-voles-au-centre-spatial-guyanais-selon-le-procureur-6790819 via @ouestfrance"
125,"Pas de masque, pas de gant, pas de test, pas de chloroquine ... et il faudrait que l’on dise merci à ceux qui nous gouvernent, n’ont aucun courage et laisse le pays dans cet état. Les prochaines élections seront terribles pour vous. #coronavirus #covid19 #chloroquine #honte"
126,Wat een #Catastrophe dat #oorlog #CoronavirusFrance #coronavirus 😷😒#coronavirusNederland 💪❤️💪
127,"Não é o coronavírus que vai acabar com o Brasil, é o bolsonaro mesmo"
128,"Et cerise sur le gâteau, alors que l'Italie se débat avec la tragédie du #coronavirus l'#UE lui a rappelé qu'elle devait continuer à accueillir les #migrants et la #France continue de refouler ces derniers à Vintimille Comment peut-on encore parler de la COMMUNAUTÉ européenne ?"
129,Coronavirus al reves es surivanoroc que no significa nada igual que yo para ti
130,Mdrrr quand même ça parle de coronavirus complot en 2018 #theorieducomplot 🤣🤣
131,I know and now the coronavirus tryna keep it that way lol
132,"Es esperar en casa a que vuelva tu pareja solo, borracho e infectado, y no precisamente de coronavirus."
133,"The worldwide number of deaths registered in the last 24 hours is 2,097. China's total number of deaths is 3,277 overall. #coronavirus #CoronaInfoCH #COVID19 #COVID2019 #COVID19outbreak"
134,"T'es con ou quoi, tu crois le Corona virus il existe depuis 2 mois ?"
135,"First came Coronavirus, then came Pelosivirus. @GOPLeader @senatemajldr"
136,Coronavirus al reves es surivanoroc que no significa nada igual que yo para ti
137,The world after the #Coronavirus. 3 ⁦⁦@Harvard⁩’s @BelferCenter⁩ scholars weigh in:
138,Nouvelle note sur mon blog : Giorgio Agamben: coronavirus et état d'exception http://euro-synergies.hautetfort.com/archive/2020/03/25/giorgio-agamben-coronavirus-et-etat-d-exception-6223220.html
139,#coronavirus #Covid_19 Le néo libéralisme progressiste mis en plein jour ! #LREM une réponse ? #RESTEZCHEZVOUS
140,This current virus is *a* Coronavirus. SARS was also a Coronavirus. This virus is called COVID-19. It's like talking about a brand of car rather than an as yet unnamed model.
141,"Business owner warns against scam targeting unemployment: TOLEDO, Ohio — Scammers are taking advantage of those out of work due to the coronavirus pandemic. A new scam is targeting businesses with ... http://dlvr.it/RSVXDl #419fraud #fraud"
142,Kurdish-led SDF calls for truce in Syria amid coronavirus pandemic http://dlvr.it/RSVXDS - security #turkey #iraq
143,Mais #GiletsJaunes ont ressources...ils ont tous installé bougies avec le portait renversé de Macron et chantent l'internationale et ça ira ça ira en invocations du neo kamarad coronavirus chinois anti capitaliste destroyer de l'économie et complice en déstabilisations du gouvt 
144,443 casos de Coronavirus en Panamá 🇵🇦
145,@EmmanuelMacron @EPhilippePM @CCastaner @BrunoLeMaire @agnesbuzyn @BGriveaux @R_Bachelot #MichelCymes #coronavirus #confinement #COVID19 #confinementjour9 #ResterChezVousbordel #franceinter #france2 #LCI #LCIvousrepond #bfmtvquestion #cnews #FranceTV #TF1
146,#Coronavirus : les laboratoires prêts à fournir de la #chloroquine en masse
147,La seul bonne nouvelle en cette pandémie du coronavirus c'est bientôt la nouvel saison de LA CASA DE PAPEL (partie 4) 😀😄😁👏👏👏👏 @NetflixFR
148,Surtout qu'il n'était pas du tout inquiet car le coronavirus n'était qu'une simple grippette
149,Lifestyle> Coronavirus: Gros moment de malaise en pleine visioc- https://bit.ly/2Ue82bT #lifestyle
150,"Contre la pandémie due au coronavirus, de nombreux pays misent sur la surveillance permise par le « big data » https://www.lemonde.fr/pixels/article/2020/03/20/contre-la-pandemie-de-nombreux-pays-misent-sur-la-surveillance-permise-par-le-big-data_6033851_4408996.html via @lemondefr"
151,"Faite attention à vous arrêter de sortir svp aujourd’hui je vient d’apprendre que mon ami, mon frère, mon sang est atteint du coronavirus @Noah9192 soigne toi bien ❤️ #CoronaPandemie #coronavirus"
152,l’état oublie aussi les chômeurs qui ne peuvent plus travailler à cause du #coronavirus et ne peuvent ni touché l’allocation chômage (pas assez travailler) et ni le RSA (trop travailler les mois précédents) donc ils sont sans ressources. #ResterChezVous #confinementtotal
153,"Fox News' coronavirus denial means 'viewers will die,' media critic says "
154,Coronavirus may have infected half of UK population — Oxford study https://www.ft.com/content/5ff6469a-6dd8-11ea-89df-41bea055720b via @financialtimes
155,Coronavirus de merde
156,"#Covid19 #coronavirus - Oil, Fishing, Tourism: Alaska Economy Faces Triple Hit - @ShipNews http://dlvr.it/RSVXC2"
157,Vidéo. Coronavirus : pourquoi il est urgent de mieux se laver les mains et comment le faire vraiment https://www.lemonde.fr/videos/video/2020/03/20/coronavirus-pourquoi-il-est-urgent-de-mieux-se-laver-les-mains-et-comment-le-faire-vraiment_6033846_1669088.html via @lemondefr
158,"Coronavirus : 240 nouveaux décès à l’hôpital en France, le seuil du millier de morts franchi – Le Parisien https://www.universmartphone.com/coronavirus-240-nouveaux-deces-a-lhopital-en-france-le-seuil-du-millier-de-morts-franchi-le-parisien/"
